ID,title,type,message,Class,Sub 1,Sub 2,Sub 3,Sub 4,Sub 5
22838,Virginia Police Pepper-Sprayed A Man Having A Medical Emergency,video,"this is disgusting and heartbreaking. they should do the same shit to the cops of what they did to that poor guy. 10 seconds of pepper spray directly into the face, run over foot etc. equal it up a little bit, except for the detail of having a fucking stroke. so it still wouldn't be exactly what the guy went through. fucking discusting. they get a hard on power tripping others. they are just fucking cowards",Hateful,Towards law enforcement,,,,
53074,Delaware Police Officer Re-Indicted For Brutality Caught On Cam,video,"Fuck that cop. Nothing but a fucking thug. 

Gang cops ",Hateful,Towards law enforcement,,,,
85387,Laquan McDonald Murder Covered Up By Chicago Police,video,"Fucking piece of shit cops, protect and serve my ass",Hateful,Towards law enforcement,,,,
92351,Alabama Police Paralyze Grandfather From India On Camera,video,Land of the free... My fucking ass. America is one hell of a shit hole where its full of dumb sheeple believing in fictional fox news and cops who kill and terrorise more per day than terrorists in this whole world combined.,Hateful,Towards law enforcement,Accusations,,,
96952,Man Killed By Taser,video,These fucking cops are out of control!,Hateful,Towards law enforcement,,,,
97037,Man Killed By Taser,video,"cops like these are the biggest pussies. as a veteran, i assure you it is easy to detain a person without using much force, ESPECIALLY if you have a fucking squad against a single person. I'd like to take one of these guys out back and ""watch him trip and fall""",Hateful,Towards law enforcement,,,,
101082,Arrested for #WalkingWhileBlack?,post,"People should just group up and jump these fucking cops instead of just standing there recording. Enough is enough, have some fucking dignity and self respect. He didn't want to let him go and had no real reason to arrest him, break his fucking arm. That will teach him to not put hands on people when it's not called for. POS. Man up America. I refuse to be treated as a second class American, or be called a fucking minority by an abusive majority. Even if you are silent, you are still part of the problem.",Hateful,Towards law enforcement,,,,
111866,Don't mess with this store worker. He just played these thieves like a boss.,post,Of course cops couldn't make it before the robbers left...they were to busy shooting dogs and fucking kids.,Hateful,Towards law enforcement,Accusations,,,
254597,Florida Police Officer Brutally Slams 13-Year-Old To The Ground,video,"The cop's a pig, but I wouldn't mind him body slamming me. ;)",Hateful,Towards law enforcement,,,,
254619,Florida Police Officer Brutally Slams 13-Year-Old To The Ground,video,"I hope that piece of shit gets at east 3 years or fired, not only does he not belong in a school, he doesn't belong on the force.",Hateful,Towards law enforcement,,,,
254622,Florida Police Officer Brutally Slams 13-Year-Old To The Ground,video,"Pigs can do this to kids in schools, but PARENTS can beat their  asses at HOME????? Wtf?????",Hateful,Towards law enforcement,,,,
1673,Pakistani Social Media Celebrity Killed By Her Brother,video,"Hope he has a genitals cut off, then made to choke on it, then have a 100 Degree iron places on the area his genitaks has been cut off",Hateful,Promoting violence,,,,
17178,"Muslims have taken over London, according to this woman. So the internet responded.",post,"AJ+ is an incredibly dishonest and biased page. Europe has a problem with mass immigration and open borders, just look at Sweden, there are actual no go zones in SWEEDEN.

What does AJ+ do, they call anyone who recognises this problem a racist islamophobe.

This page only appeals to the idiot lefty SJW type of person. 

This page sure gives the Huffington Post a run for its money in terms of SJW idiocy, keep up the work, you're almost there ;)",Hateful,Towards AJ+,Accusations,,,
49739,My Country's Not That Racist: Canada,video,"AJ+ is fucking cancer, and it's spread to Facebook.",Hateful,Towards AJ+,,,,
51230,Hey Donald Trump \u2013 Stop Provoking Violence,video,"Muslims telling non-muslims to stop provoking violence. Oh the irony! How about you stopping stoning women to death, throwing gays off rooftops and persecuting christians? #FuckIslam#FuckAJ+",Hateful,Towards AJ+,,,,
83159,Tel Aviv Snapchat Story Angers Twitter Users On Gaza War Anniversary,video,"funny how the ONLY democracy in that part of the world is potrayed this badly..... but only on.... like, this channel? they must be getting some info NOBODY, BUT NOOOBODY outside ever got their eyes on.
the world is not black and white..... except on AJ+ where we don't know who ''whites'' are, but we know jews are black?
un-fuckin'-subscribe from this propaganda channel",Hateful,Towards AJ+,Accusations,,,
87037,John Boehner To Resign From Congress: What Will We Remember Him For?,video,"God damn, if this were a video where they discouraged women from acting outside their gender role. 
Feminists would SHUT AJ+ THE FUCK DOWN",Hateful,Towards AJ+,,,,
93535,"Ex-Hedge Fund Guy Raises Price Of AIDS Drug Daraprim By 5,000 Percent",video,"Really AJ+ staff????
Did u not hear his reasons or did u just decide to read a title of a random article a make a video of it.....
Research next time before u misinform the people. Fuck up journalism u did today.",Hateful,Towards AJ+,,,,
94160,Human Rights Abuses In Modi's India,video,yes because islamic countries like qatar are just so good in terms of human rights....fuck off aj+. most hypocritical channel out their.,Hateful,Towards AJ+,Accusations,,,
94182,Human Rights Abuses In Modi's India,video,"Fuck u AJ+ we know it's easy to follow Gobbel's law, keep repeating lies on and on and You start feeling it as true, those Hindu pilgrims didn't die of accident in Godhra train massacre, it was a planned conspiracy in which local Muslim leaders having allegiance to Congress party were found to be involved, the key conspirator being arrested just recently, having been absconding for the past 15 years, so check the facts before lying blatantly!!!",Hateful,Towards AJ+,,,,
